station_j,station_k,dist,state_class,n_days,n_sw_j,n_sw_k,n_joint,expected_joint,ratio_emp,ratio,rho_hat
PAMPLONA,TARIFA,0.9894140921844281,dry-wet,150,87,16,2,2.7757291701108517,0.21551724137931033,0.7205313910074763,-0.5050563464579347
PAMPLONA,TAVIRA,0.9373984756420505,dry-dry,235,34,5,3,0.557392193471,4.147058823529412,5.382206703180324,0.496745183595644
PAMPLONA,TORREVIEJA,0.6645372579105153,dry-dry,739,90,13,5,2.700525691882274,3.158119658119658,1.851491365192303,0.3578864963991338
PAMPLONA,TORREVIEJA,0.6645372579105153,dry-wet,204,115,22,6,5.0314491133393,0.48379446640316204,1.19249939030346,-0.10792642391357773
PAMPLONA,VALENCIA,0.468061784552402,dry-dry,922,116,53,13,7.463779927632102,1.9495770982433311,1.7417448164397142,0.23732032788797558
PAMPLONA,VALENCIA,0.468061784552402,dry-wet,321,164,103,29,15.607336634572656,0.5510892730286526,1.8581004997201465,-0.03284284145938882
PAMPLONA,VANDELLOS,0.3349233542175873,dry-dry,999,110,71,20,10.393539539270328,2.558258642765685,1.92427227745016,0.36869283244539264
PAMPLONA,VANDELLOS,0.3349233542175873,dry-wet,279,131,99,17,16.003443835932323,0.3657182512144344,1.0622713569831839,-0.3327427763022676
PAMPLONA,VIMIANZO,0.6473942164570747,dry-dry,1195,126,210,41,24.47351989223943,1.851662887377173,1.6752800651695847,0.28937991339078156
PAMPLONA,VIMIANZO,0.6473942164570747,wet-wet,211,116,89,54,50.29026210518974,1.1036419992251065,1.07376652535735,0.15619343898977983
PAMPLONA,VIMIANZO,0.6473942164570747,dry-wet,643,217,247,54,43.89531320307704,0.6478105934812217,1.2301996741696475,-0.18132277649611792
PAMPLONA,ZAMORA,0.39917848827833396,dry-dry,1306,148,73,26,11.250783512962709,3.1429100333209923,2.310950163608057,0.4468548498076384
PAMPLONA,ZAMORA,0.39917848827833396,wet-wet,104,45,75,41,32.806105645708385,1.2634074074074073,1.249767358636898,0.5040182862086653
PAMPLONA,ZAMORA,0.39917848827833396,dry-wet,346,204,84,28,16.830327576961448,0.565359477124183,1.6636634000117976,-0.20331624251858052
PONFERRADA,PORTO,0.25664623667062253,dry-dry,1306,99,112,37,10.208386083055464,4.358044733044733,3.6244710671175517,0.5959836434711321
PONFERRADA,PORTO,0.25664623667062253,wet-wet,153,61,86,53,44.12766341012181,1.5457491422035836,1.2010606477714179,0.7503265609209413
PONFERRADA,PORTO,0.25664623667062253,dry-wet,260,146,89,25,14.106690560790005,0.5002308757888256,1.7722087184281403,-0.28802004123578784
PONFERRADA,SORIA,0.3750312882024775,dry-dry,1118,104,109,32,11.811034616469046,3.1559633027522938,2.7093308113228205,0.47638116079606607
PONFERRADA,SORIA,0.3750312882024775,wet-wet,139,77,75,49,37.67131682285854,1.1793939393939394,1.3007243742078942,0.3224534050030391
PONFERRADA,SORIA,0.3750312882024775,dry-wet,363,132,196,46,20.772877475339033,0.6454081632653061,2.2144260011454784,-0.08039991179393594
