station_j,station_k,state_class,dist_exact,n_class_days_exact,n_used_exact,n_cells_exact,phi_bar_exact,dist_binned,n_class_days_binned,n_used_binned,n_cells_binned,phi_bar_binned
BEJA,BRAGANCA,dry-wet,430.8607385181245,474,254,15,-0.27279134148503303,430.8607385181245,474,422,15,-0.3247261643653907
BEJA,BRAGANCA,wet-wet,430.8607385181245,434,311,9,0.45286153578660593,430.8607385181245,434,404,9,0.4351248450261279
BEJA,CADIZ,dry-dry,221.52310477604246,864,414,13,0.5808143970503789,221.52310477604246,864,843,13,0.579552984504229
BEJA,CADIZ,dry-wet,221.52310477604246,237,114,7,-0.3285179013187714,221.52310477604246,237,179,9,-0.33683421453245094
BEJA,CADIZ,wet-wet,221.52310477604246,277,193,6,0.3795808537962084,221.52310477604246,277,242,6,0.3990231379540229
BEJA,CAMPDEVANOL,dry-dry,971.5264098324253,993,353,15,0.25689003754223877,971.5264098324253,993,993,16,0.21383139312519592
BEJA,CAMPDEVANOL,dry-wet,971.5264098324253,553,241,12,-0.08016317450430513,971.5264098324253,553,505,18,-0.11310726039417589
BEJA,CAMPDEVANOL,wet-wet,971.5264098324253,207,146,5,0.19072003504828813,971.5264098324253,207,190,6,0.17099240437358296
BEJA,CUENCA,dry-dry,544.681595978789,1134,526,20,0.4175615431582845,544.681595978789,1134,1134,16,0.3737981141318179
BEJA,CUENCA,dry-wet,544.681595978789,455,224,11,-0.1247482574265846,544.681595978789,455,426,17,-0.2269775474740351
BEJA,CUENCA,wet-wet,544.681595978789,319,206,6,0.19100843236214157,544.681595978789,319,299,9,0.21732432600626098
BEJA,DAROCA,dry-dry,651.0787517022701,905,331,14,0.0940579908419009,651.0787517022701,905,889,15,0.1473085026832947
BEJA,DAROCA,dry-wet,651.0787517022701,455,236,13,-0.18983867147184175,651.0787517022701,455,423,17,-0.2078419453932557
BEJA,DAROCA,wet-wet,651.0787517022701,201,128,5,0.022567544734146606,651.0787517022701,201,177,6,0.04993230803719327
BEJA,EXTREMO,dry-dry,440.49324693578575,719,189,10,0.2609353183073306,440.49324693578575,719,681,12,0.19509667899970354
BEJA,EXTREMO,dry-wet,440.49324693578575,539,229,15,-0.16696719989965628,440.49324693578575,539,518,21,-0.20882703388495477
BEJA,EXTREMO,wet-wet,440.49324693578575,290,122,6,0.021357371605563544,440.49324693578575,290,250,9,0.07857019176712458
BEJA,GETAFE,dry-dry,437.6679412323377,971,494,16,0.49688811259280885,437.6679412323377,971,922,14,0.507402622825135
BEJA,GETAFE,dry-wet,437.6679412323377,266,116,7,-0.2380712336236297,437.6679412323377,266,220,11,-0.4091327272188247
BEJA,GETAFE,wet-wet,437.6679412323377,264,197,6,0.4773921082587683,437.6679412323377,264,239,6,0.4393108311386408
BEJA,LORCA,dry-dry,544.1541780990365,1208,223,12,0.06094854802068633,544.1541780990365,1208,1208,16,0.030497642000576707
BEJA,LORCA,dry-wet,544.1541780990365,555,223,14,0.0034610747032753674,544.1541780990365,555,517,18,-0.06070369935912953
BEJA,LORCA,wet-wet,544.1541780990365,114,57,2,0.07733413235040025,544.1541780990365,114,98,5,0.13323059280988436
BEJA,MONTSERRAT,dry-dry,918.3970126546851,1131,389,18,0.1580197802655981,918.3970126546851,1131,1131,16,0.14282698174874373
BEJA,MONTSERRAT,dry-wet,918.3970126546851,538,263,14,-0.21569877761926365,918.3970126546851,538,499,18,-0.2084957754558641
BEJA,MONTSERRAT,wet-wet,918.3970126546851,176,125,5,0.054735506842265094,918.3970126546851,176,158,5,0.03553770325506593
BEJA,OURENSE,dry-dry,478.10838148272,695,260,13,0.2943019040241718,478.10838148272,695,688,15,0.36208978374413847
BEJA,OURENSE,dry-wet,478.10838148272,408,175,11,-0.3173396775055619,478.10838148272,408,347,14,-0.33635113689670215
BEJA,OURENSE,wet-wet,478.10838148272,313,195,7,0.23499092318669954,478.10838148272,313,283,8,0.16084696162406079
BEJA,OVIEDO,dry-dry,615.7044529368845,792,333,16,0.24009760822400183,615.7044529368845,792,764,13,0.18344311010923797
BEJA,OVIEDO,dry-wet,615.7044529368845,720,322,17,-0.13584162937204045,615.7044529368845,720,685,20,-0.12883687079782524
BEJA,OVIEDO,wet-wet,615.7044529368845,271,167,6,0.01778276599229258,615.7044529368845,271,247,8,0.059733500292951894
BEJA,PAMPLONA,dry-dry,749.236086638974,710,297,16,0.18001502361943345,749.236086638974,710,704,15,0.23437763291212643
BEJA,PAMPLONA,dry-wet,749.236086638974,521,237,14,-0.10264076380972845,749.236086638974,521,477,18,-0.11301543239876062
BEJA,PAMPLONA,wet-wet,749.236086638974,230,143,5,0.18328597848163347,749.236086638974,230,207,7,0.10131951599830205
BEJA,PONFERRADA,dry-dry,515.9345422390563,828,336,15,0.45539822688826026,515.9345422390563,828,821,15,0.3835888173828451
BEJA,PONFERRADA,dry-wet,515.9345422390563,411,196,12,-0.32460050669669516,515.9345422390563,411,364,15,-0.31221994679799564
BEJA,PONFERRADA,wet-wet,515.9345422390563,312,198,6,0.3015592019823546,515.9345422390563,312,288,8,0.30820577605680977
BEJA,PORTO,dry-dry,363.21670264981594,1197,470,18,0.3546017706620096,363.21670264981594,1197,1197,16,0.4001098252086755
BEJA,PORTO,dry-wet,363.21670264981594,597,252,13,-0.34497494606835366,363.21670264981594,597,552,20,-0.2992257977869519
BEJA,PORTO,wet-wet,363.21670264981594,439,282,8,0.2977737792266885,363.21670264981594,439,411,10,0.3028765150737857
BEJA,SORIA,dry-dry,620.0440291830206,862,413,16,0.30108667056766947,620.0440291830206,862,847,14,0.3290244821173895
BEJA,SORIA,dry-wet,620.0440291830206,378,195,11,-0.2906431014398623,620.0440291830206,378,325,13,-0.27856310882949525
BEJA,SORIA,wet-wet,620.0440291830206,284,189,6,0.32035018965949924,620.0440291830206,284,261,8,0.34261169695045746
BEJA,TARIFA,dry-dry,300.94700188637086,921,436,17,0.43906549112036236,300.94700188637086,921,835,12,0.37689511337988396
BEJA,TARIFA,dry-wet,300.94700188637086,311,128,6,-0.2034920039116581,300.94700188637086,311,263,12,-0.21060240378925704
BEJA,TARIFA,wet-wet,300.94700188637086,241,147,4,0.43353874773766365,300.94700188637086,241,196,5,0.44358250232179014
BEJA,TORREVIEJA,dry-dry,626.9216009737157,1413,257,14,0.025732918619237953,626.9216009737157,1413,1413,16,0.026686203942058687
BEJA,TORREVIEJA,dry-wet,626.9216009737157,638,231,13,-0.10576148069315783,626.9216009737157,638,594,18,-0.015250657453167999
BEJA,TORREVIEJA,wet-wet,626.9216009737157,113,61,3,0.2715328475978397,626.9216009737157,113,88,4,0.2574600508118035
BEJA,VALENCIA,dry-dry,670.0089442478595,853,193,10,0.046623442851834736,670.0089442478595,853,853,16,0.07785817500919295
BEJA,VALENCIA,dry-wet,670.0089442478595,457,184,11,-0.13965776384856288,670.0089442478595,457,410,17,-0.15509091808653094
BEJA,VALENCIA,wet-wet,670.0089442478595,146,86,3,-0.09445683024468064,670.0089442478595,146,129,5,0.01790209770757281
BEJA,VANDELLOS,dry-dry,817.1787164831283,1033,211,11,0.08008366613859197,817.1787164831283,1033,1033,16,0.09359272133347829
BEJA,VANDELLOS,dry-wet,817.1787164831283,479,177,9,-0.17477134479922748,817.1787164831283,479,440,17,-0.1159054939034926
BEJA,VANDELLOS,wet-wet,817.1787164831283,145,93,5,0.08289778395737041,817.1787164831283,145,126,5,0.09702548341672167
BEJA,VIMIANZO,dry-dry,568.3203927006623,819,260,13,0.1991415281232581,568.3203927006623,819,819,16,0.17252929102464984
BEJA,VIMIANZO,dry-wet,568.3203927006623,867,355,21,-0.19026197632242284,568.3203927006623,867,828,22,-0.18787657499602603
BEJA,VIMIANZO,wet-wet,568.3203927006623,415,225,10,0.15220287874899793,568.3203927006623,415,363,10,0.17967890059391875
BEJA,ZAMORA,dry-dry,428.66901235196895,1126,614,19,0.5260603157308705,428.66901235196895,1126,1114,15,0.5020054980653962
BEJA,ZAMORA,dry-wet,428.66901235196895,344,156,9,-0.3596721397627262,428.66901235196895,344,286,13,-0.3426722613161667
BEJA,ZAMORA,wet-wet,428.66901235196895,321,235,7,0.4466247384290526,428.66901235196895,321,283,6,0.4679039788328481
BRAGANCA,CADIZ,dry-dry,591.2441421173287,736,217,9,0.18070848117773938,591.2441421173287,736,736,16,0.22292235458729207
BRAGANCA,CADIZ,dry-wet,591.2441421173287,374,165,11,-0.09414030527579868,591.2441421173287,374,321,14,-0.2255829581725104
BRAGANCA,CADIZ,wet-wet,591.2441421173287,260,156,6,0.315443190139393,591.2441421173287,260,236,9,0.31438879420977006
BRAGANCA,CAMPDEVANOL,dry-dry,737.2338559609224,975,358,16,0.06223094220358768,737.2338559609224,975,975,16,0.10493612700221054
BRAGANCA,CAMPDEVANOL,dry-wet,737.2338559609224,673,350,18,-0.012646830446463671,737.2338559609224,673,632,20,-0.07476414331883031
BRAGANCA,CAMPDEVANOL,wet-wet,737.2338559609224,244,178,7,0.04154985024160957,737.2338559609224,244,222,6,0.03705792076048782
BRAGANCA,CUENCA,dry-dry,432.7158669303208,1086,385,15,0.2515433928095679,432.7158669303208,1086,1086,16,0.23449128660305435
BRAGANCA,CUENCA,dry-wet,432.7158669303208,541,293,15,-0.08679201422608082,432.7158669303208,541,526,19,-0.17712322830062735
BRAGANCA,CUENCA,wet-wet,432.7158669303208,353,237,7,0.247032349687253,432.7158669303208,353,308,7,0.2662349221528363
BRAGANCA,DAROCA,dry-dry,450.87818508278497,932,402,17,0.18737396054141325,450.87818508278497,932,932,16,0.15511718130642715
BRAGANCA,DAROCA,dry-wet,450.87818508278497,506,250,13,-0.12370498587571888,450.87818508278497,506,461,17,-0.1573631938158509
BRAGANCA,DAROCA,wet-wet,450.87818508278497,244,163,6,0.08922796691194526,450.87818508278497,244,220,6,0.0811220425221915
BRAGANCA,EXTREMO,dry-dry,144.04718332264275,776,343,12,0.3768877101491654,144.04718332264275,776,751,11,0.3131549701187651
BRAGANCA,EXTREMO,dry-wet,144.04718332264275,462,239,12,-0.28265987071916693,144.04718332264275,462,405,14,-0.27154406978998114
BRAGANCA,EXTREMO,wet-wet,144.04718332264275,416,188,7,0.08320681116961408,144.04718332264275,416,383,11,0.09169149551043979
BRAGANCA,GETAFE,dry-dry,303.51700722728503,923,367,15,0.4614644959325748,303.51700722728503,923,916,15,0.3799642050744173
BRAGANCA,GETAFE,dry-wet,303.51700722728503,361,177,10,-0.24432972385431528,303.51700722728503,361,308,12,-0.25652152709966347
