station_j,station_k,state_class,dist_exact,n_class_days_exact,n_used_exact,n_cells_exact,phi_bar_exact,dist_binned,n_class_days_binned,n_used_binned,n_cells_binned,phi_bar_binned
MONTSERRAT,TARIFA,dry-wet,894.0073536859612,473,207,12,-0.19200624211603814,894.0073536859612,473,446,17,-0.250205541871316
MONTSERRAT,TARIFA,wet-wet,894.0073536859612,209,145,5,0.09559404806837488,894.0073536859612,209,180,5,0.10086709439461782
MONTSERRAT,TORREVIEJA,dry-dry,457.3761585560558,1218,313,15,0.20404858657968564,457.3761585560558,1218,1163,12,0.23033606669501053
MONTSERRAT,TORREVIEJA,dry-wet,457.3761585560558,421,164,10,-0.25843428294612786,457.3761585560558,421,373,13,-0.2328308511611355
MONTSERRAT,TORREVIEJA,wet-wet,457.3761585560558,122,74,2,0.1324277295552563,457.3761585560558,122,112,4,0.16922701340157356
MONTSERRAT,VALENCIA,dry-dry,299.9337136524067,1105,491,18,0.33264407697578924,299.9337136524067,1105,1090,15,0.3469155412324699
MONTSERRAT,VALENCIA,dry-wet,299.9337136524067,391,205,11,-0.26648811148777685,299.9337136524067,391,350,14,-0.2460991782332137
MONTSERRAT,VALENCIA,wet-wet,299.9337136524067,253,200,5,0.4445047501820878,299.9337136524067,253,228,4,0.4186578325425396
MONTSERRAT,VANDELLOS,dry-dry,107.44072374644497,1207,645,20,0.5014237109448886,107.44072374644497,1207,1176,13,0.5094091283719246
MONTSERRAT,VANDELLOS,dry-wet,107.44072374644497,293,158,10,-0.5002583915245246,107.44072374644497,293,265,11,-0.5235950598925584
MONTSERRAT,VANDELLOS,wet-wet,107.44072374644497,264,212,4,0.4449952561558251,107.44072374644497,264,243,4,0.4299080866317369
MONTSERRAT,VIMIANZO,dry-dry,908.9071491485759,948,414,20,0.0013413070094770013,908.9071491485759,948,948,16,0.07926413374442542
MONTSERRAT,VIMIANZO,dry-wet,908.9071491485759,1117,623,30,0.014023213321175794,908.9071491485759,1117,1101,24,0.015083058879844643
MONTSERRAT,VIMIANZO,wet-wet,908.9071491485759,392,271,11,-0.00736400179470214,908.9071491485759,392,359,8,-0.010594067290653441
MONTSERRAT,ZAMORA,dry-dry,630.124864241534,1151,488,20,0.22824431202427675,630.124864241534,1151,1115,15,0.13297195164952147
MONTSERRAT,ZAMORA,dry-wet,630.124864241534,668,336,14,-0.08201479653041038,630.124864241534,668,632,18,-0.07179895356084987
MONTSERRAT,ZAMORA,wet-wet,630.124864241534,236,171,6,0.12567950350651083,630.124864241534,236,213,6,0.08335095434129589
OURENSE,OVIEDO,dry-dry,198.1392317490295,626,352,12,0.5426734939974098,198.1392317490295,626,607,13,0.4887871864513704
OURENSE,OVIEDO,dry-wet,198.1392317490295,409,227,13,-0.4179680056122232,198.1392317490295,409,359,15,-0.4341273411504718
OURENSE,OVIEDO,wet-wet,198.1392317490295,564,381,11,0.33954338516665716,198.1392317490295,564,536,11,0.2986415150646982
OURENSE,PAMPLONA,dry-dry,512.2711108548466,624,280,10,0.32861256591459614,512.2711108548466,624,604,13,0.3399824683741806
OURENSE,PAMPLONA,dry-wet,512.2711108548466,464,234,12,-0.28356857480280667,512.2711108548466,464,414,18,-0.20640737632404016
OURENSE,PAMPLONA,wet-wet,512.2711108548466,403,290,11,0.20577011467759626,512.2711108548466,403,399,11,0.15479661420281118
OURENSE,PONFERRADA,dry-dry,106.6932085028858,756,459,11,0.6846366752855153,106.6932085028858,756,711,9,0.673716605763205
OURENSE,PONFERRADA,dry-wet,106.6932085028858,214,86,7,-0.638026569189755,106.6932085028858,214,156,9,-0.6311613570340772
OURENSE,PONFERRADA,wet-wet,106.6932085028858,513,337,9,0.6130255990750664,106.6932085028858,513,494,11,0.590773219304923
OURENSE,PORTO,dry-dry,139.29882883035052,839,565,16,0.6822866953362788,139.29882883035052,839,831,13,0.6615337763037331
OURENSE,PORTO,dry-wet,139.29882883035052,273,127,8,-0.49564735508807284,139.29882883035052,273,218,11,-0.545230752383802
OURENSE,PORTO,wet-wet,139.29882883035052,570,378,9,0.5172510089912705,139.29882883035052,570,543,11,0.532833816830464
OURENSE,SORIA,dry-dry,448.04142990230656,608,345,14,0.36671215531704116,448.04142990230656,608,590,13,0.4281853485410054
OURENSE,SORIA,dry-wet,448.04142990230656,387,194,9,-0.3219189699405718,448.04142990230656,387,329,13,-0.24662342843216675
OURENSE,SORIA,wet-wet,448.04142990230656,400,268,9,0.23642844206351388,448.04142990230656,400,371,9,0.22333457882612598
OURENSE,TARIFA,dry-dry,728.2696456458681,609,157,8,0.2699135590368813,728.2696456458681,609,591,14,0.21223923459006824
OURENSE,TARIFA,dry-wet,728.2696456458681,494,185,12,-0.2475664013371408,728.2696456458681,494,412,16,-0.20910915749211373
OURENSE,TARIFA,wet-wet,728.2696456458681,239,140,7,0.09338865689743102,728.2696456458681,239,207,7,0.11453631842305498
OURENSE,TORREVIEJA,dry-dry,776.0168458727076,761,107,7,-0.014309583218800395,776.0168458727076,761,646,12,0.023691273972432543
OURENSE,TORREVIEJA,dry-wet,776.0168458727076,713,242,15,0.031197237597633314,776.0168458727076,713,650,19,0.004720101506906925
OURENSE,TORREVIEJA,wet-wet,776.0168458727076,89,47,3,0.05954252249098638,776.0168458727076,89,63,3,-0.053058540444985765
OURENSE,VALENCIA,dry-dry,704.3620695761358,686,188,9,0.09241947170471812,704.3620695761358,686,686,16,0.11453118798495328
OURENSE,VALENCIA,dry-wet,704.3620695761358,584,222,12,0.011941196080994278,704.3620695761358,584,546,20,0.0029913421843226168
OURENSE,VALENCIA,wet-wet,704.3620695761358,162,89,4,0.07671820428010803,704.3620695761358,162,143,6,-0.006455029285422649
OURENSE,VANDELLOS,dry-dry,740.909536391108,699,192,10,0.18469150944297655,740.909536391108,699,687,15,0.13457170479267277
OURENSE,VANDELLOS,dry-wet,740.909536391108,585,255,14,-0.16081649158316327,740.909536391108,585,548,19,-0.09977963563267025
OURENSE,VANDELLOS,wet-wet,740.909536391108,168,99,4,0.05128206970498012,740.909536391108,168,139,5,-0.017790483795460596
OURENSE,VIMIANZO,dry-dry,126.663815929313,854,541,19,0.46931754843735657,126.663815929313,854,842,14,0.5299250757451438
OURENSE,VIMIANZO,dry-wet,126.663815929313,432,217,12,-0.5124541001105789,126.663815929313,432,391,16,-0.4895157140644793
OURENSE,VIMIANZO,wet-wet,126.663815929313,778,522,15,0.4800737068098345,126.663815929313,778,761,12,0.3909610583670853
OURENSE,ZAMORA,dry-dry,197.46051121987787,846,416,14,0.5369557583442023,197.46051121987787,846,803,12,0.43611445592686565
OURENSE,ZAMORA,dry-wet,197.46051121987787,401,217,12,-0.28653884641813393,197.46051121987787,401,379,16,-0.3763704942233761
OURENSE,ZAMORA,wet-wet,197.46051121987787,455,309,9,0.3943296347572873,197.46051121987787,455,421,9,0.37828066619233297
OVIEDO,PAMPLONA,dry-dry,349.0842283939773,705,442,15,0.4495738977777485,349.0842283939773,705,681,12,0.44649817852461426
OVIEDO,PAMPLONA,dry-wet,349.0842283939773,439,251,11,-0.3725815474362516,349.0842283939773,439,395,13,-0.39033026374210356
OVIEDO,PAMPLONA,wet-wet,349.0842283939773,557,418,12,0.4123880514516655,349.0842283939773,557,536,9,0.37867768585885075
OVIEDO,PONFERRADA,dry-dry,105.7779788780367,704,432,15,0.5898518425658064,105.7779788780367,704,667,11,0.57209413159636
OVIEDO,PONFERRADA,dry-wet,105.7779788780367,395,170,10,-0.44289803898632113,105.7779788780367,395,361,16,-0.3579678765987509
OVIEDO,PONFERRADA,wet-wet,105.7779788780367,495,343,11,0.2870368513185477,105.7779788780367,495,468,10,0.3253487541442227
OVIEDO,PORTO,dry-dry,329.9069465626056,766,380,15,0.37228491175517237,329.9069465626056,766,745,13,0.3612035949115301
OVIEDO,PORTO,dry-wet,329.9069465626056,638,349,17,-0.24016020608455535,329.9069465626056,638,591,19,-0.20050251802453203
OVIEDO,PORTO,wet-wet,329.9069465626056,493,336,13,0.14739346778704004,329.9069465626056,493,461,11,0.15151148459104752
OVIEDO,SORIA,dry-dry,328.47142618303815,677,396,15,0.4215628036094791,328.47142618303815,677,663,14,0.44408411262110237
OVIEDO,SORIA,dry-wet,328.47142618303815,454,278,14,-0.32974451103384084,328.47142618303815,454,398,14,-0.3455754330822718
OVIEDO,SORIA,wet-wet,328.47142618303815,497,327,9,0.2775063226211631,328.47142618303815,497,458,9,0.3295083345503689
OVIEDO,TARIFA,dry-dry,816.4177169560978,649,239,11,0.1919840481847602,816.4177169560978,649,634,13,0.10684960246828144
OVIEDO,TARIFA,dry-wet,816.4177169560978,662,271,16,-0.13554779419830804,816.4177169560978,662,618,19,-0.09509442718343349
OVIEDO,TARIFA,wet-wet,816.4177169560978,269,182,9,0.1905352133325728,816.4177169560978,269,256,9,0.1777331505667831
OVIEDO,TORREVIEJA,dry-dry,739.2844742188854,807,192,11,0.07233154753834857,739.2844742188854,807,698,11,0.06925362443623635
OVIEDO,TORREVIEJA,dry-wet,739.2844742188854,842,336,21,-0.045205473164596194,739.2844742188854,842,792,17,-0.09228188049352473
OVIEDO,TORREVIEJA,wet-wet,739.2844742188854,130,83,4,-0.037118993943846636,739.2844742188854,130,109,4,-0.07638655797269686
OVIEDO,VALENCIA,dry-dry,629.29788286108,690,272,12,-0.02549101107661206,629.29788286108,690,683,15,0.03541522248035595
OVIEDO,VALENCIA,dry-wet,629.29788286108,665,328,17,-0.12233195670144421,629.29788286108,665,606,18,-0.11039990818453513
OVIEDO,VALENCIA,wet-wet,629.29788286108,206,131,6,-0.06583668268881197,629.29788286108,206,192,6,-0.022002092119255006
OVIEDO,VANDELLOS,dry-dry,616.2749053789473,759,252,11,0.1856089829547681,616.2749053789473,759,750,13,0.2112169454380048
OVIEDO,VANDELLOS,dry-wet,616.2749053789473,682,369,20,-0.1371087954162468,616.2749053789473,682,649,16,-0.17819879393047364
OVIEDO,VANDELLOS,wet-wet,616.2749053789473,260,177,6,0.16670440514862755,616.2749053789473,260,242,6,0.19701147098702218
OVIEDO,VIMIANZO,dry-dry,259.2087761058383,823,515,17,0.5061597629259873,259.2087761058383,823,796,13,0.47443681027776896
OVIEDO,VIMIANZO,dry-wet,259.2087761058383,650,363,17,-0.31106768238338406,259.2087761058383,650,617,20,-0.28788471064646265
OVIEDO,VIMIANZO,wet-wet,259.2087761058383,872,611,20,0.3227991455372687,259.2087761058383,872,861,13,0.2899832318852415
OVIEDO,ZAMORA,dry-dry,204.63855112905523,832,426,17,0.4327783008022543,204.63855112905523,832,806,12,0.381360044242915
OVIEDO,ZAMORA,dry-wet,204.63855112905523,615,332,17,-0.32273208820986676,204.63855112905523,615,584,18,-0.32837866658558723
OVIEDO,ZAMORA,wet-wet,204.63855112905523,457,333,11,0.221043568541585,204.63855112905523,457,445,10,0.2145166965540557
PAMPLONA,PONFERRADA,dry-dry,406.46655924264945,716,315,12,0.3292382228710393,406.46655924264945,716,709,14,0.2757684561041065
