station_j,station_k,state_class,dist_exact,n_class_days_exact,n_used_exact,n_cells_exact,phi_bar_exact,dist_binned,n_class_days_binned,n_used_binned,n_cells_binned,phi_bar_binned
ARANJUEZ,MONTSERRAT,dry-dry,483.74183977122476,1056,323,13,0.27061103334500897,483.74183977122476,1056,1028,15,0.3110747360542067
ARANJUEZ,MONTSERRAT,dry-wet,483.74183977122476,333,115,5,-0.22792765261717096,483.74183977122476,333,274,12,-0.32367029758031074
ARANJUEZ,MONTSERRAT,wet-wet,483.74183977122476,171,123,4,0.3648902614322671,483.74183977122476,171,148,4,0.3667640700335889
ARANJUEZ,OURENSE,dry-dry,439.5898363142306,563,186,7,0.23770001701842122,439.5898363142306,563,534,11,0.2813135150898326
ARANJUEZ,OURENSE,dry-wet,439.5898363142306,379,146,9,-0.25860307124541176,439.5898363142306,379,355,16,-0.28603309571772706
ARANJUEZ,OURENSE,wet-wet,439.5898363142306,263,184,8,0.3305019516548379,439.5898363142306,263,247,8,0.27084012312426387
ARANJUEZ,OVIEDO,dry-dry,413.3214453984977,638,216,10,0.2561133980120222,413.3214453984977,638,619,12,0.24922203824635078
ARANJUEZ,OVIEDO,dry-wet,413.3214453984977,589,268,15,-0.10359775691296637,413.3214453984977,589,543,17,-0.16033177347894623
ARANJUEZ,OVIEDO,wet-wet,413.3214453984977,247,168,6,0.14330738947363755,413.3214453984977,247,221,6,0.12230920302877245
ARANJUEZ,PAMPLONA,dry-dry,344.72106708465105,660,274,13,0.4088332155264768,344.72106708465105,660,634,12,0.456449067217886
ARANJUEZ,PAMPLONA,dry-wet,344.72106708465105,463,209,12,-0.24110405190390727,344.72106708465105,463,413,15,-0.20419350734348077
ARANJUEZ,PAMPLONA,wet-wet,344.72106708465105,252,197,7,0.0955098466563114,344.72106708465105,252,230,6,0.08430735762809638
ARANJUEZ,PONFERRADA,dry-dry,376.975941051903,652,253,11,0.24931999467749236,376.975941051903,652,632,13,0.2844532769035485
ARANJUEZ,PONFERRADA,dry-wet,376.975941051903,385,162,10,-0.24574763119103255,376.975941051903,385,326,14,-0.27586886829536306
ARANJUEZ,PONFERRADA,wet-wet,376.975941051903,240,150,6,0.1504066543920775,376.975941051903,240,211,6,0.1138522732281935
