station_j,station_k,dist,n_days,agree,agree_indep
ARANJUEZ,ZAMORA,244.76945615902187,10319,0.8510514584746584,0.7067669028497637
BARCELOS,BEJA,394.9462144858965,8248,0.7287827352085354,0.6197259101751826
BARCELOS,BRAGANCA,158.84068706909179,8248,0.762972841901067,0.5951158925660005
BARCELOS,CADIZ,595.3643399439889,7391,0.7161412528751184,0.6302178487052541
BARCELOS,CAMPDEVANOL,895.7864620392419,7835,0.6388002552648373,0.5728842212512578
BARCELOS,CUENCA,569.6889276503039,8091,0.7151155604993202,0.606494603171611
BARCELOS,DAROCA,603.6694309161289,7745,0.6905100064557779,0.6022998090515256
BARCELOS,EXTREMO,49.40102682945533,7975,0.8899059561128526,0.5665714841437679
BARCELOS,GETAFE,433.6385065645445,7808,0.7251536885245902,0.6209090546012503
BARCELOS,LORCA,733.4979004425483,7824,0.6394427402862985,0.640589115474056
BARCELOS,MONTSERRAT,869.679214214432,7858,0.6567828964113006,0.6060564319771575
BARCELOS,OURENSE,108.51603210141234,7495,0.7966644429619747,0.584510291685902
BARCELOS,OVIEDO,303.03775372150017,7779,0.6896773364185628,0.544440150545348
BARCELOS,PAMPLONA,592.6994498625564,6422,0.728122080348801,0.576992182378616
BARCELOS,PONFERRADA,202.54991121436774,7571,0.7932901862369568,0.5852675765709319
BARCELOS,PORTO,33.53848022189384,8248,0.7726721629485936,0.583521533913523
BARCELOS,SORIA,510.47595095847004,7653,0.7436299490395923,0.5932688169466555
BARCELOS,TARIFA,666.8113288261869,7675,0.7057980456026058,0.6313460131404759
BARCELOS,TORREVIEJA,782.6215615097669,8246,0.6420082464225079,0.6415922904115843
BARCELOS,VALENCIA,733.7072218600883,7715,0.6356448476992871,0.6276377753639595
BARCELOS,VANDELLOS,795.6777500992627,7244,0.6605466593042518,0.6228576262630668
BARCELOS,VIMIANZO,173.4419829726839,7815,0.7323096609085092,0.5345796090540043
BARCELOS,ZAMORA,240.12680160839145,7855,0.7514958625079567,0.6145173718770336
BEJA,BRAGANCA,430.8607385181245,11322,0.8179650238473768,0.6596944858942588
BEJA,CADIZ,221.52310477604246,10137,0.8843839400217026,0.7260767130065858
BEJA,CAMPDEVANOL,971.5264098324253,10674,0.6936481169196178,0.6400980408063817
BEJA,CUENCA,544.681595978789,11077,0.8121332490746592,0.680618631706045
BEJA,DAROCA,651.0787517022701,10675,0.7587822014051522,0.6812604250614744
BEJA,EXTREMO,440.49324693578575,7975,0.7038244514106583,0.600621848732315
BEJA,GETAFE,437.6679412323377,10745,0.8564913913448116,0.7098548330483649
BEJA,LORCA,544.1541780990365,10779,0.7865293626495964,0.7524008931653543
BEJA,MONTSERRAT,918.3970126546851,10816,0.7492603550295858,0.6958626207906607
BEJA,OURENSE,478.10838148272,10371,0.7736958827499759,0.6303140551921346
BEJA,OVIEDO,615.7044529368845,10696,0.6350972326103216,0.5706362246783924
BEJA,PAMPLONA,749.236086638974,9390,0.7015974440894569,0.6258594375285412
BEJA,PONFERRADA,515.9345422390563,10544,0.778736722306525,0.6401326011851232
BEJA,PORTO,363.21670264981594,11322,0.7763645998940116,0.6348181320430365
BEJA,SORIA,620.0440291830206,10518,0.7824681498383723,0.6532236817967887
BEJA,TARIFA,300.94700188637086,10386,0.8551896784132486,0.7215664186821366
BEJA,TORREVIEJA,626.9216009737157,11258,0.7806004618937644,0.7536844817687676
BEJA,VALENCIA,670.0089442478595,10679,0.7694540687330275,0.7220026935125767
BEJA,VANDELLOS,817.1787164831283,9271,0.7719771329953619,0.7253804452411734
BEJA,VIMIANZO,568.3203927006623,10868,0.6244939271255061,0.5378428140497151
BEJA,ZAMORA,428.66901235196895,10884,0.839672914369717,0.690526309364986
BRAGANCA,CADIZ,591.2441421173287,10137,0.7828746177370031,0.6789193867540413
BRAGANCA,CAMPDEVANOL,737.2338559609224,10674,0.6619823871088627,0.6087234589033198
BRAGANCA,CUENCA,432.7158669303208,11077,0.7737654599620836,0.6420919833779255
BRAGANCA,DAROCA,450.87818508278497,10675,0.7343325526932084,0.64260575050288
BRAGANCA,EXTREMO,144.04718332264275,7975,0.7524764890282132,0.58010262012306
