station_j,station_k,state_class,dist_exact,n_class_days_exact,n_used_exact,n_cells_exact,phi_bar_exact,dist_binned,n_class_days_binned,n_used_binned,n_cells_binned,phi_bar_binned
GETAFE,PONFERRADA,wet-wet,347.7878302875474,57,33,2,-0.08697968697968697,347.7878302875474,57,39,2,-0.06369115071853887
GETAFE,PORTO,dry-dry,430.07989294675906,1089,12,1,0.5222329678670935,430.07989294675906,1089,954,11,-0.002775303681523257
GETAFE,PORTO,dry-wet,430.07989294675906,274,21,2,-0.21125929737639576,430.07989294675906,274,202,7,-0.06823975753074599
GETAFE,PORTO,wet-wet,430.07989294675906,33,0,0,,430.07989294675906,33,13,1,0.50709255283711
GETAFE,SORIA,dry-dry,194.23062427293388,1095,232,8,0.494176616149312,194.23062427293388,1095,1017,11,0.33583184580734954
GETAFE,SORIA,dry-wet,194.23062427293388,198,12,1,-0.2548235957188128,194.23062427293388,198,124,5,-0.29347235812451317
GETAFE,SORIA,wet-wet,194.23062427293388,100,82,3,0.47804044499089365,194.23062427293388,100,92,3,0.47639781966994893
GETAFE,TARIFA,dry-dry,503.93440625424194,709,21,2,0.4444444444444445,503.93440625424194,709,525,4,0.060027568082180884
GETAFE,TARIFA,dry-wet,503.93440625424194,77,0,0,,503.93440625424194,77,10,1,0.16666666666666666
GETAFE,TARIFA,wet-wet,503.93440625424194,21,10,1,0.6546536707079772,503.93440625424194,21,10,1,0.6546536707079772
GETAFE,TORREVIEJA,dry-dry,366.1941513723087,855,0,0,,366.1941513723087,855,651,5,0.14708546644739598
GETAFE,TORREVIEJA,dry-wet,366.1941513723087,124,10,1,0.21821789023599236,366.1941513723087,124,57,2,0.11701459847380767
GETAFE,TORREVIEJA,wet-wet,366.1941513723087,8,0,0,,366.1941513723087,8,0,0,
GETAFE,VALENCIA,dry-dry,300.38725558016614,804,59,3,-0.12982992600193488,300.38725558016614,804,672,12,0.08489116133882194
GETAFE,VALENCIA,dry-wet,300.38725558016614,146,14,1,-0.18856180831641267,300.38725558016614,146,106,6,-0.3239338167198229
GETAFE,VALENCIA,wet-wet,300.38725558016614,36,14,1,0.2842676218074806,300.38725558016614,36,34,3,0.346987288321906
GETAFE,VANDELLOS,dry-dry,394.4493920266504,962,48,3,0.06839314588331039,394.4493920266504,962,873,12,0.12667892429611122
GETAFE,VANDELLOS,dry-wet,394.4493920266504,196,0,0,,394.4493920266504,196,115,5,-0.06504031878319438
GETAFE,VANDELLOS,wet-wet,394.4493920266504,27,17,1,0.15,394.4493920266504,27,17,1,0.15
GETAFE,VIMIANZO,dry-dry,537.9982813583713,1023,44,3,0.06162625985620831,537.9982813583713,1023,1023,16,-0.030969397573151224
GETAFE,VIMIANZO,dry-wet,537.9982813583713,519,78,5,-0.13052752682954177,537.9982813583713,519,440,12,-0.042422230207642284
GETAFE,VIMIANZO,wet-wet,537.9982813583713,51,24,2,0.09092412093166351,537.9982813583713,51,26,2,0.16317848796612638
GETAFE,ZAMORA,dry-dry,216.6030790562176,1084,246,11,0.2270328579410139,216.6030790562176,1084,1047,13,0.17882007728244953
GETAFE,ZAMORA,dry-wet,216.6030790562176,176,21,2,-0.7662738462939599,216.6030790562176,176,144,9,-0.411961921044879
GETAFE,ZAMORA,wet-wet,216.6030790562176,67,43,2,0.32777216548073895,216.6030790562176,67,55,3,0.42427607758538166
LORCA,MONTSERRAT,dry-dry,531.9731725143124,1506,61,3,0.10755395441024915,531.9731725143124,1506,1452,12,0.07385024458819384
LORCA,MONTSERRAT,dry-wet,531.9731725143124,319,27,2,-0.2651694851001786,531.9731725143124,319,281,8,-0.08159263634222856
LORCA,MONTSERRAT,wet-wet,531.9731725143124,36,17,1,0.5952380952380952,531.9731725143124,36,17,1,0.5952380952380952
LORCA,OURENSE,dry-dry,738.7044514897925,975,0,0,,738.7044514897925,975,870,9,0.028758809308254838
LORCA,OURENSE,dry-wet,738.7044514897925,258,10,1,-0.10206207261596575,738.7044514897925,258,145,5,-0.06475409242991124
LORCA,OURENSE,wet-wet,738.7044514897925,13,0,0,,738.7044514897925,13,0,0,
LORCA,OVIEDO,dry-dry,725.6043641308303,1087,67,5,0.011987821899939202,725.6043641308303,1087,1022,11,0.01681013802463093
LORCA,OVIEDO,dry-wet,725.6043641308303,621,52,4,-0.15271178657685994,725.6043641308303,621,512,7,0.016998778778141696
LORCA,OVIEDO,wet-wet,725.6043641308303,40,14,1,0.31622776601683794,725.6043641308303,40,14,1,0.31622776601683794
LORCA,PAMPLONA,dry-dry,574.15223025708,1242,24,2,-0.04695103131367486,574.15223025708,1242,1184,11,-0.0013305076721382763
LORCA,PAMPLONA,dry-wet,574.15223025708,355,10,1,0.10206207261596575,574.15223025708,355,268,6,-0.06201154579835738
LORCA,PAMPLONA,wet-wet,574.15223025708,27,0,0,,574.15223025708,27,0,0,
LORCA,PONFERRADA,dry-dry,687.1777861882695,1214,0,0,,687.1777861882695,1214,1089,9,0.00010808074635711482
LORCA,PONFERRADA,dry-wet,687.1777861882695,324,21,2,-0.3744073560379747,687.1777861882695,324,170,4,-0.10509635158688427
LORCA,PONFERRADA,wet-wet,687.1777861882695,15,0,0,,687.1777861882695,15,0,0,
