station_j,station_k,dist,state_class,n_days,n_sw_j,n_sw_k,n_joint,expected_joint,ratio_emp,ratio,rho_hat
ALACANT/ALICANTE,GETAFE,0.3850572944039493,dry-wet,358,153,138,31,22.687060927857175,0.5256228095102775,1.3664176289109122,-0.27817479301150355
ALACANT/ALICANTE,GUARDA,0.6571957404414749,dry-dry,358,37,61,11,5.328075641409819,1.744793974302171,2.06453525443745,0.2404805733735547
ALACANT/ALICANTE,GUARDA,0.6571957404414749,dry-wet,241,72,75,16,13.579403503106885,0.7140740740740741,1.1782549945098322,-0.13726077312745827
ALACANT/ALICANTE,LORCA,0.14285873363064877,dry-dry,1279,140,109,77,12.491308866736514,6.453669724770642,6.1642859704674855,0.8543304140408736
ALACANT/ALICANTE,LORCA,0.14285873363064877,wet-wet,220,127,134,103,76.0870874906623,1.3315313197790575,1.353711955561981,0.6813358590456131
ALACANT/ALICANTE,LORCA,0.14285873363064877,dry-wet,216,115,89,13,13.084187699328396,0.27435271128480704,0.993565691561218,-0.5667335420670434
ALACANT/ALICANTE,MONTSERRAT,0.4839024212077362,dry-dry,1259,130,151,57,16.299355449672987,3.655781966377993,3.4970707998851323,0.5937642520680624
ALACANT/ALICANTE,MONTSERRAT,0.4839024212077362,wet-wet,184,116,87,65,56.68069505441108,1.1850971066191043,1.1467749281762112,0.29893416688178254
ALACANT/ALICANTE,MONTSERRAT,0.4839024212077362,dry-wet,395,151,189,34,26.71351994753074,0.47058411296821895,1.2727637565839685,-0.3141394973079109
ALACANT/ALICANTE,OURENSE,0.8386011704741688,dry-dry,622,66,146,15,11.534355226749087,0.9682440846824408,1.3004628091576205,-0.03676191729347449
ALACANT/ALICANTE,OURENSE,0.8386011704741688,wet-wet,107,63,35,21,18.947717588840387,1.019047619047619,1.1083129090106527,0.030222589367691
ALACANT/ALICANTE,OURENSE,0.8386011704741688,dry-wet,609,158,166,40,30.684986267601168,0.9287784047582736,1.303569102204035,0.09591381176052248
ALACANT/ALICANTE,OVIEDO,0.8252213407188747,dry-dry,742,72,221,23,18.86921798734246,1.0725238813474107,1.2189164392201355,0.025255913222838995
ALACANT/ALICANTE,OVIEDO,0.8252213407188747,wet-wet,141,89,47,29,29.296632205507564,0.9775280898876404,0.9898748701411557,-0.04924700059574691
ALACANT/ALICANTE,OVIEDO,0.8252213407188747,dry-wet,723,192,276,65,45.51587620490368,0.8868319746376812,1.4280731344681263,0.042048975954103396
ALACANT/ALICANTE,PAMPLONA,0.6138643361825086,dry-dry,868,94,177,32,16.94217312225847,1.669431422045919,1.888777771840774,0.2220361689646016
ALACANT/ALICANTE,PAMPLONA,0.6138643361825086,wet-wet,135,85,54,35,28.750564058989585,1.0294117647058822,1.2173674202769726,0.06401919775815483
ALACANT/ALICANTE,PAMPLONA,0.6138643361825086,dry-wet,570,159,233,51,35.12022658263288,0.7846789213701514,1.4521546402898136,0.027699234162460926
ALACANT/ALICANTE,PONFERRADA,0.7810935427555226,dry-dry,729,81,155,21,12.975042335932597,1.2193548387096773,1.6184918288739132,0.07032639888877182
