data_source,f_1,kappa,sigma,xi
AMARANTE autumn,0.2853932584269663,0.8379705155759963,6.4858257108381885,0.0724507923684915
AMARANTE winter,0.3267543859649123,0.9046918640685683,5.732204945202614,0.14461539991284839
ANDRAVIDA all,0.23221544715447154,0.8262680901288155,7.996617309867551,0.3482614340741541
ANDRAVIDA spring,0.1935483870967742,0.8659026872253566,9.244565844024828,0.2551463575299712
ANDRAVIDA summer,0.03389830508474576,0.9377641025706365,57.68432378131909,-0.40651000605443094
ANDRAVIDA autumn,0.20616570327552985,0.8889458500162839,7.413088061626335,0.07231449356856107
ANDRAVIDA winter,0.3078913324708926,0.8375085241701238,5.359501590600869,0.05299413420966214
ARANJUEZ all,0.21635012386457472,0.8626199598064782,8.81273587433886,0.23252877613128864
ARANJUEZ spring,0.25866666666666666,0.8375405941188586,7.355301715802474,0.15224802776507013
ARANJUEZ summer,0.09316770186335403,0.9003730107056755,22.12233836759359,0.051472766696007116
ARANJUEZ autumn,0.24509803921568626,1.0743146036158306,7.108926678689591,0.18378064241960868
ARANJUEZ winter,0.2032520325203252,0.8441703961917012,7.19096670952375,0.18313924907593618
ARGOSTOLI all,0.2642694063926941,0.8386834565400515,6.724880183471047,0.40249884633155647
ARGOSTOLI spring,0.2193158953722334,0.8602369139087567,7.590541599277784,0.44189342848365604
ARGOSTOLI summer,0.12280701754385964,0.8060052554706283,42.13675120600337,-0.22950768010229405
ARGOSTOLI autumn,0.2676348547717842,0.884579812562532,7.1215226536047,0.035776980551418175
ARGOSTOLI winter,0.3201820940819423,0.7676449335159646,4.912600070413084,0.08668271881357552
ASTURIAS AEROPUERTO all,0.3121794871794872,0.8188659070678521,5.401183930732183,-0.040575501197418026
ASTURIAS AEROPUERTO spring,0.33709273182957394,0.9159974371516748,4.737883416032939,-0.03849846690123864
ASTURIAS AEROPUERTO summer,0.21148825065274152,0.8450515044496688,5.932109614312955,-0.0708252507871616
ASTURIAS AEROPUERTO autumn,0.3022959183673469,0.7876828661010462,5.104455927685114,-0.061481694265187785
ASTURIAS AEROPUERTO winter,0.3963730569948187,0.7069272360293054,5.976685292876474,0.003827881117735401
BADAJOZ AEROPUERTO all,0.23954908407703146,0.8482132514498951,10.169405562278797,0.2892203442580691
BADAJOZ AEROPUERTO spring,0.2523809523809524,0.9208922515055662,9.09769032673196,0.27804185675924625
BADAJOZ AEROPUERTO summer,0.12682926829268293,0.7211074121307675,53.64183248339413,-0.2904277346617
BADAJOZ AEROPUERTO autumn,0.21512605042016808,0.767859969991903,9.68257044172782,0.03989887663137689
BADAJOZ AEROPUERTO winter,0.28183118741058655,0.940918963833264,7.7643837267817215,0.14271963098190427
BALIKESIR all,0.2200374531835206,0.9169911367278881,6.894720034582654,0.31614238178957393
BALIKESIR spring,0.22610015174506828,0.8943126285259337,7.541091956690942,0.09244177423311631
BALIKESIR summer,0.10138248847926268,0.6696522493726592,37.628027592619965,-0.10913061525867856
BALIKESIR autumn,0.17362637362637362,0.8039503286801052,10.531622739106414,-0.048135472811527545
BALIKESIR winter,0.2732919254658385,0.852691556078786,5.679577279339153,-0.03945701330691547
BANDIRMA all,0.25407725321888414,0.8872902344854431,6.677621839202581,0.25267879046708397
BANDIRMA spring,0.25226586102719034,0.9261424281266393,6.435721872096557,0.14502875583088054
BANDIRMA summer,0.12186379928315412,0.8416900037860353,19.908373284189143,0.019886911984162748
BANDIRMA autumn,0.23381294964028776,0.7992606786575738,9.074619356269107,-0.040245285523009544
BANDIRMA winter,0.3133253301320528,0.919743791260231,4.169612216051682,0.09626261427707296
BARCELONA AEROPUERTO all,0.17545748116254037,0.8604601418531108,10.05222363568993,0.04039731742548679
BARCELONA AEROPUERTO spring,0.17490494296577946,0.8860671081887913,8.07979115298881,0.08274490198142105
BARCELONA AEROPUERTO summer,0.1342512908777969,0.8521044880206632,14.158040729298705,-0.09692878912345818
BARCELONA AEROPUERTO autumn,0.20025188916876574,0.8520496919050157,8.032552020459775,0.10378323348454892
BARCELONA AEROPUERTO winter,0.18298555377207062,0.9318088007570803,11.098004640000548,0.026860010796746138
BARCELOS all,0.2776203966005666,0.8608731091024956,7.956831537963968,0.06224498848228937
BARCELOS spring,0.28401360544217685,0.9686546635497256,6.550757524843174,0.022220744038064833
BARCELOS summer,0.19239904988123516,0.9574332386822356,12.428996912327102,-0.04262974209334869
BARCELOS autumn,0.2862453531598513,0.8699578228308558,6.548015301494564,0.10213680557615265
BARCELOS winter,0.3257443082311734,0.8261655974810937,6.021112887910319,0.09744860251539351
BASSACUTENA all,0.24008264462809917,0.8797524889295268,8.170854450472389,0.25409915420374574
BASSACUTENA spring,0.2062780269058296,0.9901601438552231,8.049084557956014,0.1354581902722987
BASSACUTENA summer,0.08333333333333333,0.7390849865122224,42.78938559474239,-0.2960306161224327
BASSACUTENA autumn,0.27132867132867133,0.8623902464406005,7.494660277058365,0.000711645196033177
BASSACUTENA winter,0.2817073170731707,0.7827068370340518,7.403399142085854,0.027549335937495773
BASTIA all,0.21692111959287533,0.867096153407866,8.20380758606131,0.13000953353666064
BASTIA spring,0.21540178571428573,0.9326000054678364,7.3165070662225435,0.06512598842716669
BASTIA summer,0.1076923076923077,0.8320414554768557,17.280262076123357,-0.0033016508145461408
BASTIA autumn,0.22654462242562928,0.8476028032362446,7.602847266329593,-0.0036766457310186034
BASTIA winter,0.26332970620239393,0.7813519996764723,7.84285909036083,0.03686157160789903
BEARIZ all,0.26175115207373273,0.8128541149145615,8.427557473320636,-0.03484587380826641
BEARIZ spring,0.2698961937716263,0.9279264612553096,7.1309072652228656,-0.036882322162987986
BEARIZ summer,0.17167381974248927,0.9767223925863507,10.534512043352429,-0.057069439816583245
BEARIZ autumn,0.2978723404255319,0.6185727533014069,8.406251014470804,-0.015273285226451458
BEARIZ winter,0.2918149466192171,0.9271282847579905,6.033943586112892,0.029491661121260216
BEJA all,0.2587087784486763,0.8641750452377298,8.906171766359018,0.33764366799063145
BEJA spring,0.23493044822256567,0.9087184606455523,7.569993791840546,0.31964186023821883
BEJA summer,0.12429378531073447,0.6144394747498381,72.69067097082379,-0.46524216246907374
BEJA autumn,0.2465753424657534,0.8726945149668881,9.252446292574692,-0.025901488838788924
BEJA winter,0.3208053691275168,0.8355794421772688,7.8734040046619285,0.12134783818326457
BELGRADE (OBSERVATORY) all,0.2557213930348259,0.7899913974731707,6.287751591343979,-0.0074766697549075185
BELGRADE (OBSERVATORY) spring,0.26685133887349954,0.7352646252477081,5.7219066849430105,-0.08827100098646294
BELGRADE (OBSERVATORY) summer,0.24701195219123506,0.7933342637216222,6.763959786105458,-0.04627929540645517
BELGRADE (OBSERVATORY) autumn,0.22914349276974416,0.8305679536125206,7.2681240275063725,-0.0021091673854686612
BELGRADE (OBSERVATORY) winter,0.27562862669245647,0.8165181278403364,5.634473475773995,0.0545502386320772
BEN GUERIR all,0.1328125,1.049961358633308,9.353046143272584,0.42956985358696004
BEN GUERIR spring,0.10810810810810811,0.6675236896461404,17.602327576328257,0.4815163650821562
BEN GUERIR summer,0.0,1.9545839538728305,21.081469989715274,0.30320076403364765
BEN GUERIR autumn,0.10294117647058823,0.9835431276205227,12.065126302777372,-0.1403785806388409
BEN GUERIR winter,0.18269230769230768,0.9016052317336738,10.759194409372853,0.07502574012266243
BILBAO AEROPUERTO all,0.3024825259098578,0.8385470526072175,5.3730379048068775,-0.025908208084720424
BILBAO AEROPUERTO spring,0.33089579524680074,0.8510340180901573,4.842945240302415,-0.0345818722251656
BILBAO AEROPUERTO summer,0.21455223880597016,0.872622840715808,5.688563235361535,-0.05527839835726723
