souid,city,country,lat,lon
265110,MURO  S'ALBUFERA,ES,39.79666666666667,3.1044444444444443
221592,WIGGONHOLT,GB,50.937777777777775,-0.4938888888888889
184281,HANDELOH,DE,53.24916666666667,9.833055555555555
268206,A LAMA,ES,42.406666666666666,-8.450833333333332
182621,CHIEMSEE-HERRENCHIEMSEE,DE,47.8675,12.394444444444444
107928,M.BALLAGHBEAMA GAP,IE,51.94305555555555,-9.810833333333337
189129,VILSHOFEN (SCHWEIKLBERG),DE,48.62805555555556,13.173055555555557
131410,MOORGRUND GRAFEN-NITZENDORF,DE,50.84333333333333,10.252777777777778
188007,SCHNEIZLREUTH-UNTERJETTENBERG,DE,47.67805555555555,12.824166666666668
270426,EL ROBLEDO,ES,39.219166666666666,-4.283055555555555
189841,LENGEFELD-NEUNZEHNHAIN (TALSPERRE),DE,50.73166666666667,13.164444444444444
139182,SALA_A,SE,59.91,16.69
138666,HOKSATER,SE,58.88,11.88
183227,ERSTETTEN,DE,48.33305555555556,9.833055555555555
124462,KIEL-KRONSHAGEN,DE,54.33916666666667,10.094166666666668
239015,CIECHOCINEK,PL,52.88305555555556,18.8
186425,NENNDORF,DE,53.375277777777775,9.896944444444443
121246,OFFENBACH-WETTERPARK,DE,50.08916666666667,8.786388888888888
190253,OVERATH-BOEKE,DE,50.96527777777778,7.275277777777777
187203,PORTA WESTFALICA-BARKHAUSEN,DE,52.26166666666666,8.906666666666666
219309,TULLOCH-BRIDGE,GB,56.86666666666667,-4.707777777777778
105672,DALE FORT,GB,51.7,-5.15
186137,MESSEL,DE,49.93805555555555,8.74472222222222
119412,LAKENHEATH RAF,GB,52.4,0.5666666666666667
269166,BUSTILLO DEL PARAMO,ES,42.46638888888889,-5.779444444444445
126946,OBERVIECHTACH,DE,49.45305555555556,12.438055555555556
187323,RAESFELD-ERLE,DE,51.74805555555556,6.862777777777778
120098,GRANADA BASE AEREA,ES,37.136944444444445,-3.631388888888889
189161,VOLKERSHEIM,DE,52.016666666666666,10.166666666666666
269430,ALCANICES,ES,41.68305555555556,-6.301388888888889
190033,GRUENBERG/HESSEN,DE,50.5925,8.961666666666666
202272,AURSKOG II,NO,59.91166666666666,11.58
187445,REINHARDTSDORF,DE,50.89555555555555,14.185
189751,WITZENHAUSEN-ZIEGENHAGEN,DE,51.36416666666667,9.748888888888889
186843,OBERWESEL,DE,50.11666666666667,7.719166666666667
274122,LLIMIANA,ES,42.06666666666667,0.9069444444444444
230089,VILLACH,AT,46.61638888888889,13.866666666666667
109090,GENDRINGEN,NL,51.86666666666667,6.35
209369,OOSTKAPELLE,NL,51.56305555555555,3.551388888888889
107713,MOYVANE G.S.,IE,52.5,-9.36888888888889
138054,HID,SE,57.37,13.05
105660,PAISLEY,GB,55.84527777777778,-4.429166666666667
125758,MARIENBERG,DE,50.651944444444446,13.148333333333332
251781,ZAGAROLO,IT,41.84805555555556,12.8
187279,PUTLITZ,DE,53.245,12.043333333333331
184039,GROSSHEIDE,DE,53.59277777777778,7.343055555555555
182411,BRETSCH,DE,52.836666666666666,11.626666666666669
109388,EINDHOVEN-1,NL,51.41666666666666,5.483055555555556
126742,NIENBURG,DE,52.6725,9.224166666666669
234002,SECKAU,AT,47.27055555555555,14.778055555555556
109036,DENEKAMP,NL,52.38305555555556,7.033055555555555
209346,LEMMER TACOZIJL,NL,52.8475,5.679166666666667
190071,STEINACH,DE,48.956944444444446,12.605555555555556
225266,GUTENBRUNN-MARTINSBERG,AT,48.38305555555556,15.15
183381,FRANKENAU,DE,51.08916666666667,8.935
218882,MADONA,LV,56.830000000000005,26.25
185277,KOECKTE,DE,52.52305555555555,11.12888888888889
257153,VRATZA,BG,43.2,23.532777777777778
239195,SINOLEKA,PL,52.21666666666667,21.916666666666668
220770,HESSISCH LICHTENAU-VELMEDEN,DE,51.21388888888889,9.792777777777776
224863,LAA/TH.KLAERANLAGE,AT,48.73083333333334,16.389444444444443
218493,ST MAWGAN,GB,50.43666666666666,-4.998888888888889
270282,VILLARES DEL SAZ,ES,39.84027777777778,-2.503055555555556
201261,EIK - HOVE,NO,58.50666666666667,6.504166666666666
189645,WILLERAZHOFEN,DE,47.83305555555556,9.95
186655,NIEPARS,DE,54.30916666666666,12.924166666666666
127618,KR. RAVENSBURG WEINGARTEN,DE,47.80694444444444,9.621666666666668
187319,RADEVORMWALD,DE,51.21555555555556,7.388055555555556
183669,GERABRONN,DE,49.25138888888889,9.933333333333334
182871,DORNUM,DE,53.64555555555555,7.430000000000001
189317,WARNGAU-TAUBENBERG,DE,47.82333333333334,11.765555555555556
187345,RAMSEN/PFALZ,DE,49.53305555555556,8.013055555555555
258738,PAKS,HU,46.57333333333334,18.845555555555556
186167,MIESTE,DE,52.48166666666667,11.205555555555556
134358,KARMOY - HYDRO,NO,59.32,5.319166666666667
188679,WESSELBUREN,DE,54.21,8.918888888888889
100899,BUCURESTI FILARET,RO,44.41666666666666,26.1
110554,LYSEBOTN,NO,59.056666666666665,6.649166666666666
124210,ISERLOHN-WESTIG,DE,51.37805555555556,7.7652777777777775
107323,SULEJOW,PL,51.35305555555556,19.86638888888889
184669,HOEPFINGEN,DE,49.59805555555556,9.427777777777775
138782,DUNKER,SE,59.19,16.91
230765,OBERSIEBENBRUNN,AT,48.26638888888889,16.7
187043,PARSAU,DE,52.535555555555554,10.885277777777777
202045,VEGARSHEI,NO,58.73305555555556,8.85
256425,MANISA,TR,38.61666666666667,27.43277777777778
209282,BREDA (III E18),NL,51.59055555555556,4.776388888888889
183749,GLOETT,DE,48.5,10.483055555555556
237923,DRONIOWICE,PL,50.69583333333333,18.80888888888889
182739,DENKENDORF,DE,48.91666666666666,11.45
229348,GALTUER,AT,46.96805555555556,10.185277777777776
125266,LENSAHN,DE,54.22055555555556,10.885555555555555
230388,ST.PAUL/LAVANTTAL,AT,46.7,14.866666666666667
126478,MENZ,DE,53.10305555555556,13.043888888888889
185387,KRENSITZ,DE,51.486666666666665,12.461944444444445
188465,STADTHAGEN,DE,52.33305555555556,9.2
