Unnamed: 0,souid,city,country,lat,lon,city_key,years_mode,years_with_data,nan_fraction,total_rows_post_threshold
2458,201304,BOERTVEIT PA STORD,NO,59.89138888888889,5.528888888888889,,distinct_years,70,0.0,25111
1812,201975,SKIFTENES,NO,58.4,8.516666666666667,,distinct_years,68,0.0,24503
535,201913,RENNESOEY - GALTA,NO,59.13305555555556,5.605555555555555,,distinct_years,54,0.0,19481
2193,201586,ROED I RADE,NO,59.34027777777778,10.895,,distinct_years,67,0.0,24107
1155,201936,STOKKE,NO,59.23305555555556,10.283055555555556,,distinct_years,70,0.0,25111
2619,201438,UPSANGERVATN,NO,59.84333333333333,5.765555555555555,,distinct_years,55,0.0,19724
1845,201286,MOESVATN,NO,59.82555555555556,8.319166666666666,,distinct_years,70,0.0,25111
2689,110482,VIGMOSTAD,NO,58.221944444444446,7.336944444444444,,distinct_years,70,0.0,25141
2572,100573,NEDSTRAND,NO,59.35,5.8,,distinct_years,70,0.0,25141
1079,109759,TVEITSUND,NO,59.026944444444446,8.520555555555557,,distinct_years,80,0.0,29098
963,110267,BORSAE,NO,59.38,7.828888888888889,,distinct_years,70,0.0,25081
1488,110572,OBRESTAD FYR,NO,58.65916666666666,5.5552777777777775,,distinct_years,73,0.0,26209
949,201388,MOESSTRAND,NO,59.85194444444445,8.064444444444446,,distinct_years,63,0.0,22585
2528,201666,OGGEVATN,NO,58.45,8.116666666666667,,distinct_years,68,0.0,24503
2265,202378,AKRAFJORD,NO,59.82305555555556,6.245555555555556,,distinct_years,70,0.0,25111
2407,202103,GRIMSTAD,NO,58.340833333333336,8.6,,distinct_years,70,0.0,25111
2375,105472,FAERDER FYR,NO,59.02666666666666,10.53,,distinct_years,80,0.0,29098
2707,110473,ASERAL,NO,58.61555555555556,7.406666666666667,,distinct_years,80,0.0,29098
2517,110384,TUDDAL,NO,59.74527777777778,8.81,,distinct_years,80,0.0,29098
2218,201886,LITLABOE - DALE,NO,59.79277777777778,5.431666666666667,,distinct_years,55,0.0,19816
1004,201680,TONSTAD,NO,58.66694444444444,6.7075000000000005,,distinct_years,70,0.0,25111
931,202395,KVINESDAL,NO,58.3,7.05,,distinct_years,68,0.0,24625
1287,201932,SARABRATEN,NO,59.891666666666666,10.879166666666666,,distinct_years,80,0.0,29098
588,201872,SVENES,NO,58.61666666666667,8.4,,distinct_years,68,0.0,24503
989,202225,FORNEBU,NO,59.89277777777778,10.615555555555556,,distinct_years,73,0.0,26207
2169,202344,TOVSLID,NO,59.05916666666666,7.984166666666667,,distinct_years,67,0.0,24169
2663,110536,HUNDSEID I VIKEDAL,NO,59.55555555555555,5.995555555555556,,distinct_years,80,0.0,29098
2342,105483,OKSOEY FYR,NO,58.06666666666667,8.050555555555556,,distinct_years,80,0.0,29098
2381,202453,STORD,NO,59.78305555555556,5.416666666666667,,distinct_years,70,0.0,25111
1741,109921,MARIDALSOSET,NO,59.96888888888889,10.793055555555556,,distinct_years,70,0.0,25112
830,110581,SOYLAND I GJESDAL,NO,58.68416666666666,5.984444444444445,,distinct_years,80,0.0,29098
2141,202452,TINNOSET,NO,59.73305555555556,9.016666666666667,,distinct_years,80,0.0,29098
2610,110509,BJORHEIM I RYFYLKE,NO,59.0775,6.02,,distinct_years,70,0.0,25141
125,201212,FYRESDAL,NO,59.16888888888889,8.038055555555555,,distinct_years,70,0.0,25111
958,201038,RISLA,NO,58.42444444444444,8.300277777777778,,distinct_years,68,0.0,24503
2014,202003,HOEGSFJORD II,NO,58.83388888888889,6.087777777777777,,distinct_years,65,0.0,23315
1780,110725,SLATTEROY FYR,NO,59.90805555555556,5.068055555555556,,distinct_years,73,0.0,26268
2060,110240,HEDRUM,NO,59.19555555555555,9.968055555555557,,distinct_years,80,0.0,29098
1444,134310,HELLAND I GJESDAL,NO,58.755,6.013333333333334,,distinct_years,65,0.0,23286
1381,135018,MELSOM,NO,59.23,10.348055555555556,,distinct_years,68,0.0,24382
1581,202130,BIRKENES II,NO,58.3,8.183055555555555,,distinct_years,68,0.0,24503
1282,110447,KJEVIK,NO,58.20027777777778,8.068055555555555,,distinct_years,80,0.0,29098
2485,202052,HYLSFJORDEN,NO,59.54527777777778,6.3613888888888885,,distinct_years,50,0.0,17836
1174,201870,STRENGEN,NO,59.99555555555556,8.375555555555556,,distinct_years,61,0.0,21886
2596,134862,MOSVATN - HAUG,NO,59.815,8.136388888888888,,distinct_years,50,0.0,17897
2568,202131,SMESTAD II,NO,59.93416666666666,10.6725,,distinct_years,70,0.0,25111
1698,109813,IGSI I HOBOL,NO,59.63555555555556,11.047777777777778,,distinct_years,70,0.0,25082
2721,201702,MOLANDSVATNET,NO,58.55,8.816666666666666,,distinct_years,68,0.0,24503
564,202352,SAELI III,NO,59.54805555555556,8.418055555555554,,distinct_years,62,0.0,22311
2344,110420,TOVDAL,NO,58.793055555555554,8.234166666666665,,distinct_years,80,0.0,29098
1133,109930,NORDSTRAND,NO,59.87277777777778,10.7925,,distinct_years,70,0.0,25082
1485,109840,RYGGE,NO,58.38305555555556,10.788055555555555,,distinct_years,71,0.0,25780
463,109795,BREKKE SLUSE,NO,59.147777777777776,11.559444444444445,,distinct_years,70,0.0,25112
2212,239603,SZCZUCZYN,PL,53.56666666666667,22.28305555555556,,distinct_years,65,0.0,23619
691,238187,CHORZELOW,PL,50.35,21.45,,distinct_years,65,0.0,23619
2331,107318,SIEDLCE,PL,52.18083333333333,22.244444444444447,,distinct_years,75,0.0,27272
1697,238811,KRZYZ,PL,52.88305555555556,15.983055555555556,,distinct_years,65,0.0,23619
1429,240203,OSTROLEKA,PL,53.06555555555556,21.53388888888889,,distinct_years,75,0.0,27272
2304,237143,LACKO,PL,49.55916666666666,20.439166666666665,,distinct_years,70,0.0,25446
1249,238559,NAMYSLOW,PL,51.08305555555556,17.733055555555556,,distinct_years,65,0.0,23619
633,237383,BOCHNIA,PL,49.98305555555556,20.4,,distinct_years,65,0.0,23619
1937,240227,USTKA,PL,54.58805555555556,16.854166666666668,,distinct_years,75,0.0,27272
1934,238175,STASZOW,PL,50.6,21.18305555555556,,distinct_years,65,0.0,23619
2651,237791,OTMUCHOW,PL,50.46666666666667,17.166666666666668,,distinct_years,65,0.0,23619
696,237467,DYNOW,PL,49.83305555555556,22.23305555555556,,distinct_years,75,0.0,27272
1574,239123,BRWINOW,PL,52.13305555555556,20.716666666666665,,distinct_years,65,0.0,23619
388,237479,BIRCZA,PL,49.68305555555556,22.48305555555556,,distinct_years,65,0.0,23619
2442,239063,POSWIETNE,PL,52.63305555555556,20.38305555555556,,distinct_years,75,0.0,27272
2019,238979,KOLUDA WIELKA,PL,52.73305555555556,18.16638888888889,,distinct_years,75,0.0,27272
1434,240083,ZAMOSC,PL,50.69777777777777,23.20638888888889,,distinct_years,75,0.0,27272
1967,240191,MIKOLAJKI,PL,53.78916666666667,21.58833333333333,,distinct_years,74,0.0,26907
2696,237983,ZABKOWICE,PL,50.36666666666667,19.28305555555556,,distinct_years,65,0.0,23619
2046,239819,GDYNIA,PL,54.516666666666666,18.566666666666663,,distinct_years,75,0.0,27272
