,souid,city,country,lat,lon,city_key,years_mode,years_with_data,nan_fraction,total_rows_post_threshold
449,105217,SPLIT MARJAN,HR,43.516666666666666,16.43305555555556,,distinct_years,79,0.0,28399
452,100709,BADAJOZ AEROPUERTO,ES,38.88305555555556,-6.813888888888889,,distinct_years,71,0.0,25811
453,120152,HUELVA,ES,37.25666666666667,-6.9494444444444445,,distinct_years,80,0.0,29098
455,273282,ENCISO,ES,42.149166666666666,-2.273055555555556,,distinct_years,76,0.0,27637
501,272622,LORCA,ES,37.65444444444445,-1.6869444444444444,,distinct_years,71,0.0,25811
510,108900,ROSIORI DE VEDE,RO,44.1,24.98305555555556,,distinct_years,65,0.0,23619
559,105189,HVAR,HR,43.16666666666666,16.45,,distinct_years,80,0.0,29098
562,147712,ORLEANSVILLE (CHLEF),DZ,36.17,1.34,,distinct_years,80,0.0,29098
609,147725,MERSA MATRUH,EG,31.33305555555556,27.216666666666665,,distinct_years,80,0.0,29098
658,256733,MUGLA,TR,37.21666666666667,28.366666666666667,,distinct_years,63,0.0,22889
664,147744,TRIPOLI AIRPORT,LY,32.669999999999995,13.15,,distinct_years,80,0.0,29098
679,100732,VALENCIA,ES,39.480555555555554,-0.3663888888888889,,distinct_years,80,0.0,29098
694,135060,LISBOA GEOFISICA,PT,38.71888888888889,-9.149166666666666,,distinct_years,80,0.0,29098
702,257104,VLORE,AL,40.46666666666667,19.482777777777777,,distinct_years,65,0.0,23560
717,256432,USAK,TR,38.68277777777777,29.4,,distinct_years,63,0.0,22889
731,100710,MADRID RETIRO,ES,40.41166666666666,-3.6780555555555554,,distinct_years,80,0.0,29098
739,120233,PONFERRADA,ES,42.56388888888888,-6.6,,distinct_years,75,0.0,27272
743,119810,GIJON. LA MERCED,ES,43.54166666666666,-5.661666666666667,,distinct_years,80,0.0,29098
745,100666,BEJA,PT,38.02555555555556,-7.866944444444445,,distinct_years,80,0.0,29098
758,100939,TIRANA,AL,41.33305555555556,19.78305555555556,,distinct_years,80,0.0,29098
776,120575,TOLEDO  LORENZANA,ES,39.85916666666667,-4.025555555555555,,distinct_years,80,0.0,29098
789,119972,SANTANDER CIUDAD,ES,43.465,-3.818888888888889,,distinct_years,80,0.0,29098
795,118439,PORT LYAUTEY,MA,34.29944444444444,-6.6,,distinct_years,80,0.0,29098
815,119873,PALMA  PUERTO,ES,39.55416666666667,2.625277777777778,,distinct_years,54,0.0,19389
816,100224,CORFU,GR,39.61666666666667,19.916666666666668,,distinct_years,71,0.0,25811
824,119963,TARIFA,ES,36.013888888888886,-5.598888888888888,,distinct_years,80,0.0,29098
826,120035,CIUDAD REAL,ES,38.98916666666667,-3.9202777777777778,,distinct_years,56,0.0,20028
832,104935,CATUS,FR,44.556666666666665,1.3380555555555556,,distinct_years,80,0.0,29098
849,119828,OVIEDO,ES,43.35305555555556,-5.874166666666667,,distinct_years,54,0.0,19278
855,106203,MONT-DE-MARSAN,FR,43.909444444444446,-0.5002777777777778,,distinct_years,80,0.0,29098
856,120116,GUADALAJARA  INSTITUTO,ES,40.63444444444444,-3.1666666666666665,,distinct_years,75,0.0,27272
857,100903,DROBETA TURNU SEVERIN,RO,44.63305555555556,22.63305555555556,,distinct_years,80,0.0,29098
861,257363,KURDJALI,BG,41.65,25.38277777777778,,distinct_years,69,0.0,24929
868,147704,ANNABA-CAP DE GARDE,DZ,36.97,7.79,,distinct_years,80,0.0,29098
884,108905,SHKODRA,AL,42.1,19.53305555555556,,distinct_years,75,0.0,27272
892,120530,REUS AEROPUERTO,ES,41.14944444444444,1.1788888888888889,,distinct_years,80,0.0,29098
